Price,abs_returns,sq_returns,rv_5,rv_10,rv_20,rv_60,target_20d
Ticker,,,,,,,
Date,,,,,,,
2016-07-26,0.00046200944506464246,2.1345272732893888e-07,0.060384426374194236,0.051117441468622266,0.11074739350608148,0.13574799039701937,0.051075537643406534
2016-07-27,0.0010621385040532878,1.128138201792556e-06,0.05125607878036986,0.051814610790591055,0.09937065173306926,0.13501295825131693,0.054648874997976105
2016-07-28,0.0011541181249711892,1.3319886463870134e-06,0.04276331830177263,0.04452842583939765,0.08527414045551875,0.1335544282127567,0.054661047266419266
2016-07-29,0.0016131843826631134,2.6023638524681704e-06,0.028186135284383112,0.04394299972588592,0.07437560005447008,0.13286735553951934,0.054883545343686696
2016-08-01,0.0008295933945555302,6.882252002901675e-07,0.018793608129543105,0.042793697400503546,0.07493921831298964,0.13289897428353398,0.057404675074738405
2016-08-02,0.0064275059232403965,4.1312832393290384e-05,0.05076043067486313,0.05432529617227361,0.07374056243520916,0.13365357799950303,0.052220718381417466
2016-08-03,0.00291829416612825,8.51644084005818e-06,0.05830393974414092,0.05178409325753623,0.07215922632983068,0.13371977714630143,0.05278289121507711
2016-08-04,0.001063228657694899,1.1304551785436967e-06,0.05816312664715398,0.048584561951334856,0.07173975684709132,0.13157233862490836,0.05270530830933383
2016-08-05,0.008145881332359693,6.635538268088612e-05,0.08447094076844494,0.060055703740994656,0.058173653836854,0.1307245242321126,0.046681280130094135
2016-08-08,0.0005960013880267986,3.5521765452987055e-07,0.08417246400834243,0.05784104578517857,0.0579087343498181,0.13075779734585144,0.047774419658325434
2016-08-09,0.0005960013880269248,3.55217654530021e-07,0.054587264492637164,0.057833142151375486,0.053142415497679764,0.12917731255295614,0.04776577641638583
2016-08-10,0.002478237170832506,6.1416594748959035e-06,0.06412839605264987,0.05942710205311949,0.05429511369116353,0.12810480689458473,0.04762775157982993
2016-08-11,0.004629819430433707,2.1435227958421498e-05,0.06801775290816126,0.06293031188806489,0.05325543951407662,0.1264927654436288,0.09679156338875365
2016-08-12,0.0008690480176925332,7.552444570553214e-07,0.04253182418066623,0.06333470215684135,0.053054549124993196,0.12654969634650365,0.11134175714444078
2016-08-15,0.002879395395879876,8.290917845814228e-06,0.045214966651211747,0.06370121564616735,0.053160750561167903,0.12622726170043147,0.12101031214730511
2016-08-16,0.005170831420264004,2.673749757678946e-05,0.06307843654810404,0.05979893185423383,0.0567743792238435,0.1264600838768144,0.12019952295475206
2016-08-17,0.0018793107096569672,3.531808743431374e-06,0.060712475307339815,0.05914398408806391,0.05533908547657782,0.12636832372817658,0.12612697778853493
2016-08-18,0.002241304701369086,5.023446764379168e-06,0.052742168433952186,0.05946958666957229,0.053553901483018876,0.12399964513691124,0.12609514209304457
2016-08-19,0.0014628790162456151,2.1400150161717386e-06,0.05365539672317917,0.045671028589996415,0.05197293945142704,0.12349666379873307,0.12615404667612543
2016-08-22,4.614908244680762e-05,2.1297378106822475e-09,0.047706099827385336,0.04549761311062956,0.05076643646127624,0.12350455427019287,0.1261631765851094
2016-08-23,0.0020113682377099675,4.045602187668501e-06,0.02568122869516174,0.04637162404284353,0.051075537643406534,0.12331791554070684,0.13301402525872855
2016-08-24,0.005127952859660614,2.629590053090147e-05,0.04786770190137394,0.05242722850496985,0.054648874997976105,0.12379195396275257,0.13388067719764132
2016-08-25,0.0006883183408357336,4.7378213833085713e-07,0.041479163294068776,0.04594803650885,0.054661047266419266,0.1237927650927031,0.13533391420359608
2016-08-26,0.0018852643433592599,3.5542216443418214e-06,0.041842633510736214,0.04649650760539113,0.054883545343686696,0.12380081557633989,0.1381897193877049
